,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Pershing Square North,Pershing Square North,Pershing Square North,Pershing Square North,N.A.,N.A.,40.751872999988635,-73.97770599998202,1.6901761683386667,2.1883527660629625,cat-12,Midtown,-17.201248,11.091014
12 Ave & W 40 St,12 Ave & W 40 St,12 Ave,W 40 St,W 40 St,12 Ave,40.76087502000095,-74.00277668001839,1.4351844720017652,1.3868480725623158,cat-8,Lower Manhattan,-6.3634233,6.8914824
West St & Chambers St,West St & Chambers St,West St,Chambers St,West St,N.A.,40.71754833999062,-74.01322068998395,-0.23696682464446894,-0.25705489994879827,cat-8,Lower Manhattan,-6.7241817,6.455872
8 Ave & W 31 St,8 Ave & W 31 St,8 Ave,W 31 St,W 31 St,8 Ave,40.75058534701781,-73.9946848154068,2.172538030424448,0.9346095069572584,cat-12,Midtown,-8.139073,7.374693
E 17 St & Broadway,E 17 St & Broadway,E 17 St,Broadway,E 17 St,N.A.,40.73704983999469,-73.99009295998464,0.14362556197806953,0.26160762731569775,cat-12,Midtown,-11.153826,9.556819
Broadway & E 22 St,Broadway & E 22 St,Broadway,E 22 St,E 22 St,N.A.,40.74034319999643,-73.98955109001913,-0.5269646900947009,-0.5249369457326338,cat-12,Midtown,-12.204087,11.192028
Christopher St & Greenwich St,Christopher St & Greenwich St,Christopher St,Greenwich St,Christopher St,N.A.,40.73291552999403,-74.00711383999227,-0.9913653073438127,-0.19463144439714597,cat-8,Lower Manhattan,-12.147149,10.299928
Broadway & W 60 St,Broadway & W 60 St,Broadway,W 60 St,W 60 St,N.A.,40.76915504999152,-73.98191841001439,0.7965208223511127,1.2973343071023464,cat-9,Upper West Side,-12.986972,11.918819
W 21 St & 6 Ave,W 21 St & 6 Ave,W 21 St,6 Ave,W 21 St,6 Ave,40.741739690008686,-73.99415556000892,1.305063739376692,0.5665689670486245,cat-8,Lower Manhattan,-15.7322855,11.156295
W 20 St & 11 Ave,W 20 St & 11 Ave,W 20 St,11 Ave,W 20 St,11 Ave,40.74674500000712,-74.00775600000551,-0.6313342190169351,-0.8566521214372642,cat-8,Lower Manhattan,3.3486378,-9.872281
Broadway & E 14 St,Broadway & E 14 St,Broadway,E 14 St,E 14 St,N.A.,40.73454566999763,-73.99074141999232,-1.7130234344986093,-1.3672191173636747,cat-8,Lower Manhattan,-8.4842,3.4676998
South End Ave & Liberty St,South End Ave & Liberty St,South End Ave,Liberty St,Liberty St,South End Ave,40.71151200000539,-74.01575599998874,1.5458424290534367,0.9234034152600543,cat-8,Lower Manhattan,-9.014026,4.0981154
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,Grand Army Plaza,Central Park S,N.A.,N.A.,40.76439710000605,-73.9737146500161,1.2754319599223436,1.1807445731637927,cat-9,Upper West Side,5.9380107,-10.433455
6 Ave & W 33 St,6 Ave & W 33 St,6 Ave,W 33 St,W 33 St,6 Ave,40.74901271000247,-73.98848394999767,-1.1030226963707719,-0.9088633993742405,cat-12,Midtown,8.432965,-10.148238
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,N.A.,N.A.,40.72771407778264,-74.01129573583603,0.5027654867255933,0.1563981042654632,cat-8,Lower Manhattan,8.988575,-9.99417
8 Ave & W 33 St,8 Ave & W 33 St,8 Ave,W 33 St,W 33 St,8 Ave,40.75155099999515,-73.99393400001601,0.6263553883602526,1.1071632583114024,cat-12,Midtown,-7.670984,3.609374
Carmine St & 6 Ave,Carmine St & 6 Ave,Carmine St,6 Ave,Carmine St,6 Ave,40.730385989998545,-74.00214988000539,-1.777408269593252,-1.3334057341442076,cat-8,Lower Manhattan,-11.145021,3.6725523
Lafayette St & E 8 St,Lafayette St & E 8 St,Lafayette St,E 8 St,Lafayette St,N.A.,40.73020660529649,-73.99102628231049,-1.5227777777777192,-1.9425938263379976,cat-8,Lower Manhattan,-12.62305,4.101684
W 41 St & 8 Ave,W 41 St & 8 Ave,W 41 St,8 Ave,W 41 St,8 Ave,40.756405479993795,-73.99002619999469,0.4911909009813371,1.6162084575466906,cat-12,Midtown,2.6118941,3.762731
University Pl & E 14 St,University Pl & E 14 St,University Pl,E 14 St,E 14 St,N.A.,40.7349269500069,-73.99200508999657,-0.7759660486933626,-0.7570011025359236,cat-8,Lower Manhattan,1.0594918,3.9644003
Cleveland Pl & Spring St,Cleveland Pl & Spring St,Cleveland Pl,Spring St,Spring St,N.A.,40.72210378669203,-73.99724900722505,-2.1211949756705053,-2.4412097870413163,cat-8,Lower Manhattan,-5.658269,3.7314231
E 13 St & Avenue A,E 13 St & Avenue A,E 13 St,Avenue A,E 13 St,N.A.,40.729667293934604,-73.98067966103555,-3.894120322984236,-3.913632514817891,cat-8,Lower Manhattan,7.5249834,-10.27699
W 38 St & 8 Ave,W 38 St & 8 Ave,W 38 St,8 Ave,W 38 St,8 Ave,40.75466590999569,-73.99138152000913,0.6640356897735273,1.1983461582635755,cat-12,Midtown,8.149373,-10.070201
Broadway & W 25 St,Broadway & W 25 St,Broadway,W 25 St,W 25 St,N.A.,40.74286877311659,-73.98918628692627,0.3257757929691252,0.36780554918595953,cat-12,Midtown,9.264253,-10.1881
E 24 St & Park Ave S,E 24 St & Park Ave S,E 24 St,Park Ave S,E 24 St,Park Ave S,40.74096373999962,-73.98602213000356,-1.3353197341280065,-2.1857305936073317,cat-12,Midtown,5.6122355,5.088115
Central Park S & 6 Ave,Central Park S & 6 Ave,Central Park S,6 Ave,N.A.,6 Ave,40.765909360003015,-73.97634150999701,1.4014908256881426,1.4967817437097892,cat-9,Upper West Side,7.3763494,-10.526822
W 22 St & 10 Ave,W 22 St & 10 Ave,W 22 St,10 Ave,W 22 St,10 Ave,40.74691958999458,-74.00451886999583,1.0428948273884089,1.089497615614846,cat-8,Lower Manhattan,-16.712772,11.378712
Broadway & W 41 St,Broadway & W 41 St,Broadway,W 41 St,W 41 St,N.A.,40.75513557000738,-73.98658032000525,0.41985083189911165,-0.5437947769817129,cat-12,Midtown,-17.876598,10.34286
W 33 St & 7 Ave,W 33 St & 7 Ave,W 33 St,7 Ave,W 33 St,7 Ave,40.75019995000483,-73.99093084999922,-0.006206896551702812,1.4010261305334097,cat-12,Midtown,-7.72888,7.2072206
1 Ave & E 16 St,1 Ave & E 16 St,1 Ave,E 16 St,E 16 St,1 Ave,40.73221853000721,-73.98165556998966,-2.558576429404866,-2.0358023242165473,cat-12,Midtown,-12.635286,11.122878
North Moore St & Greenwich St,North Moore St & Greenwich St,North Moore St,Greenwich St,North Moore St,N.A.,40.7201952143792,-74.0103006362915,-1.7052159546849452,-2.1142349149904476,cat-8,Lower Manhattan,-16.124851,11.249793
Greenwich Ave & 8 Ave,Greenwich Ave & 8 Ave,Greenwich Ave,8 Ave,N.A.,Greenwich Ave,40.739016912102784,-74.00263761030448,-0.16889312977104964,-0.42008587786267526,cat-8,Lower Manhattan,-16.789879,11.524177
Grand St & Elizabeth St,Grand St & Elizabeth St,Grand St,Elizabeth St,Grand St,N.A.,40.718822000003115,-73.99595999998341,0.15452591354187462,-0.6061148931087246,cat-8,Lower Manhattan,3.2336047,5.2175117
W 22 St & 8 Ave,W 22 St & 8 Ave,W 22 St,8 Ave,W 22 St,8 Ave,40.74475148000054,-73.99915361999123,1.594769673704377,2.7666788632759562,cat-8,Lower Manhattan,2.4521794,4.878653
W 34 St & 11 Ave,W 34 St & 11 Ave,W 34 St,11 Ave,W 34 St,11 Ave,40.755941590002855,-74.00211630000199,-0.603369434416436,-0.6091129871631438,cat-8,Lower Manhattan,2.7829835,4.650434
